Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status,Patient Age,Patient Sex,Patient BMI,Enable Treatment
35,27,12,0,0.46571428571428575,0.7043647837116922,0.29249961361499743,0.0,100.0,0,RUNNING,30,male,22,True
35,27,27,0,0.46571428571428575,0.9924999999999999,0.0032349330732864235,0.0,100.0,1,RUNNING,30,male,22,True
36,27,27,0,0.4722222222222222,0.99,0.0029921253487706504,0.0,97.14285714285714,2,RUNNING,30,male,22,True
38,27,27,0,0.47368421052631576,0.9924999999999999,0.0032958717966504463,0.0,91.42857142857143,3,RUNNING,30,male,22,True
39,27,27,0,0.47948717948717945,0.99,0.003002956264451047,0.0,88.57142857142857,4,RUNNING,30,male,22,True
38,27,27,0,0.4894736842105263,0.995,0.003106987950335015,0.0,91.42857142857143,5,RUNNING,30,male,22,True
40,27,27,0,0.5,0.99,0.0027840349183324183,0.0,85.71428571428572,6,RUNNING,30,male,22,True
40,27,27,0,0.505,0.99,0.003211156040023752,0.0,85.71428571428572,7,RUNNING,30,male,22,True
40,27,27,0,0.505,0.99,0.0036103676392248442,0.0,85.71428571428572,8,RUNNING,30,male,22,True
38,27,27,0,0.5210526315789474,0.9924999999999999,0.0031280842778863252,0.0,91.42857142857143,9,RUNNING,30,male,22,True
39,27,27,0,0.5256410256410257,0.9924999999999999,0.003072925635532826,0.0,88.57142857142857,10,RUNNING,30,male,22,True
37,27,27,0,0.527027027027027,0.995,0.00328696535486978,0.0,94.28571428571428,11,RUNNING,30,male,22,True
37,27,27,0,0.527027027027027,0.9924999999999999,0.002059538761103173,0.0,94.28571428571428,12,RUNNING,30,male,22,True
36,27,27,0,0.5333333333333333,0.99,0.0033546605389317466,0.0,97.14285714285714,13,RUNNING,30,male,22,True
36,27,27,0,0.5333333333333333,0.99,0.0027882581624229666,0.0,97.14285714285714,14,RUNNING,30,male,22,True
34,27,27,1,0.5294117647058824,0.9924999999999999,0.0024156659827389163,2.857142857142858,100.0,15,RUNNING,30,male,22,True
36,27,27,0,0.5166666666666666,0.99,0.0037057651502703554,0.0,97.14285714285714,16,RUNNING,30,male,22,True
35,27,27,0,0.5114285714285713,0.9924999999999999,0.002391153247851306,0.0,100.0,17,RUNNING,30,male,22,True
37,27,27,0,0.5216216216216216,0.99,0.002614994492913967,0.0,94.28571428571428,18,RUNNING,30,male,22,True
38,27,27,0,0.5157894736842105,0.995,0.003598880443768953,0.0,91.42857142857143,19,RUNNING,30,male,22,True
39,27,27,0,0.5256410256410257,0.99,0.0023555902721410843,0.0,88.57142857142857,20,RUNNING,30,male,22,True
41,27,27,0,0.524390243902439,0.99,0.0033199930800607937,0.0,82.85714285714285,21,RUNNING,30,male,22,True
42,27,27,0,0.5285714285714286,0.995,0.00248362026735928,0.0,80.0,22,RUNNING,30,male,22,True
42,27,27,0,0.5190476190476191,0.9924999999999999,0.0037135690504488303,0.0,80.0,23,RUNNING,30,male,22,True
44,27,27,0,0.5227272727272727,0.9924999999999999,0.0036317384888673323,0.0,74.28571428571429,24,RUNNING,30,male,22,True
43,27,27,0,0.5279069767441861,0.99,0.004200040486406617,0.0,77.14285714285715,25,RUNNING,30,male,22,True
44,27,27,0,0.5363636363636363,0.9924999999999999,0.0031845024554123013,0.0,74.28571428571429,26,RUNNING,30,male,22,True
