Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status,Patient Age,Patient Sex,Patient BMI,Enable Treatment
59,25,11,0,0.4627118644067797,0.7144585171065666,0.5255550582551921,0.0,100.0,0,RUNNING,50,male,25.0,True
60,25,25,0,0.4666666666666667,0.9899999999999999,0.15207326061881318,0.0,98.30508474576271,1,RUNNING,50,male,25.0,True
61,25,25,0,0.4639344262295082,0.9933333333333333,0.0032894315142580964,0.0,96.61016949152543,2,RUNNING,50,male,25.0,True
63,25,25,0,0.46507936507936504,0.9899999999999999,0.003856287926838111,0.0,93.22033898305084,3,RUNNING,50,male,25.0,True
64,25,25,0,0.46875,0.9933333333333333,0.0031244906099873893,0.0,91.52542372881356,4,RUNNING,50,male,25.0,True
65,25,25,0,0.4723076923076923,0.9899999999999999,0.0029902589314096846,0.0,89.83050847457628,5,RUNNING,50,male,25.0,True
66,25,25,0,0.4757575757575757,0.9899999999999999,0.0032098669789345138,0.0,88.13559322033898,6,RUNNING,50,male,25.0,True
64,25,25,0,0.475,0.9933333333333333,0.003594692246466722,0.0,91.52542372881356,7,RUNNING,50,male,25.0,True
69,25,25,0,0.4739130434782608,0.9899999999999999,0.003481042269601636,0.0,83.05084745762711,8,RUNNING,50,male,25.0,True
68,25,25,0,0.4764705882352941,0.9933333333333333,0.0021552278477400843,0.0,84.7457627118644,9,RUNNING,50,male,25.0,True
69,25,25,0,0.47681159420289854,0.9966666666666667,0.002737926843042722,0.0,83.05084745762711,10,RUNNING,50,male,25.0,True
71,25,25,0,0.4802816901408451,0.9899999999999999,0.002983535396615028,0.0,79.66101694915254,11,RUNNING,50,male,25.0,True
72,25,25,0,0.4861111111111111,0.9966666666666667,0.0020957186778592664,0.0,77.96610169491525,12,RUNNING,50,male,25.0,True
75,25,25,0,0.4866666666666667,0.9899999999999999,0.003405558147199183,0.0,0.0,13,TUMOR_VICTORY,50,male,25.0,True
